id,text,source,category,verdict,label
1,"Drinking warm water mixed with lemon and salt flushes the coronavirus out of your throat before it reaches the lungs, Nigerian doctors confirm.",Dubawa,health,false,1
2,BREAKING: The COVID-19 vaccine contains a 5G microchip that the government is using to track every Nigerian who takes it.,AfricaCheck,health,false,1
3,Bathing in hot water and steam inhalation kills the coronavirus and makes vaccination completely unnecessary.,FactCheckHub,health,false,1
4,A Nigerian herbalist has produced a herbal mixture that cures COVID-19 in just three days with a 100% success rate.,Dubawa,health,false,1
5,Africans are genetically immune to the coronavirus because of the hot weather and high melanin levels.,AfricaCheck,health,false,1
6,Eating plenty of garlic and drinking chloroquine tea prevents anyone from ever catching COVID-19.,FactCheckHub,health,misleading,1
7,"The polio vaccine being distributed in northern Nigeria was designed to make young girls infertile, a viral audio claims.",AfricaCheck,health,false,1
8,Photos show that the COVID-19 test swab inserts a nanoworm into the brain through the nose.,Dubawa,health,false,1
9,Doctors in Lagos say drinking your own urine every morning boosts your immune system enough to defeat any virus.,FactCheckHub,health,false,1
10,A message on WhatsApp says NAFDAC has approved a N200 tea that reverses diabetes and high blood pressure permanently.,Dubawa,health,false,1
11,Sitting in the sun for 30 minutes at noon raises your body temperature high enough to kill the coronavirus in your blood.,AfricaCheck,health,false,1
12,Fresh reports claim that the malaria drug Artemisia tea eliminates HIV from the body within two weeks.,PesaCheck,health,false,1
13,"Ebola can be prevented by drinking large amounts of salt water, a circulating broadcast tells Nigerians.",AfricaCheck,health,false,1
14,Applying a mixture of onion and honey to the chest overnight cures pneumonia without any need for antibiotics.,FactCheckHub,health,misleading,1
15,"A viral post insists that Monkeypox in Nigeria is actually a side effect of the COVID-19 vaccine, not a separate virus.",Dubawa,health,false,1
16,"INEC has secretly declared the election results 24 hours before voting even began, leaked documents show.",FactCheckHub,elections,false,1
17,A viral video shows thumb-printed ballot papers being burned by soldiers in Rivers State during the 2023 general election.,Dubawa,elections,misleading,1
18,The BVAS machines used by INEC can be remotely reprogrammed overnight to flip votes to a preferred candidate.,AfricaCheck,elections,false,1
19,Photo shows that a foreign country has already printed congratulatory banners for a candidate before Nigerians voted.,FactCheckHub,elections,misleading,1
20,A doctored INEC statement announces that the presidential election has been postponed by three months.,Dubawa,elections,false,1
21,"Millions of underage children were bussed in to vote in Kano, according to a widely shared but unverified clip.",AfricaCheck,elections,misleading,1
22,"The Chairman of INEC has resigned live on television after admitting the election was rigged, a fake screenshot claims.",TheCable,elections,false,1
23,A recycled 2019 video of ballot-box snatching is being shared as fresh evidence of fraud in the 2023 governorship poll.,Dubawa,elections,misleading,1
24,"Viral message: the Central Bank will pay every registered voter N50,000 as an incentive for turning out on election day.",FactCheckHub,elections,false,1
25,Satellite images supposedly prove that entire polling units in Lagos were fabricated and never existed.,AfricaCheck,elections,false,1
26,"The CBN has announced that the old N1,000 notes will remain legal tender forever and should never be returned to banks.",PesaCheck,economy,false,1
27,A viral flyer claims the government will convert all naira savings to a digital currency and wipe out physical cash balances next month.,Dubawa,economy,false,1
28,"New N5,000 and N10,000 naira notes with a president's portrait are already in circulation, according to shared photos.",FactCheckHub,economy,false,1
29,"The IMF has ordered Nigeria to seize 40% of every citizen's bank balance to repay national debt, a message warns.",AfricaCheck,economy,false,1
30,A circulating notice says petrol will sell for N100 per litre nationwide starting next week after a secret deal.,Dubawa,economy,misleading,1
31,"The fuel subsidy removal has been reversed and pump prices will crash back to N165, an unverified broadcast claims.",FactCheckHub,economy,misleading,1
32,A fake CBN circular says all dormant bank accounts will be emptied and the money donated to charity by Friday.,PesaCheck,economy,false,1
33,"Message claims the World Bank has cancelled all of Nigeria's debt as a gift, so taxes will be abolished this year.",AfricaCheck,economy,false,1
34,A video of a building collapse in another country is being shared as a fresh bomb explosion in Abuja this morning.,Dubawa,security,misleading,1
35,"Bandits have taken over the entire Kaduna-Abuja highway and no vehicle has passed in two weeks, a viral voice note claims.",FactCheckHub,security,misleading,1
36,Old footage from Iraq is circulating as proof that a Nigerian city has been captured by insurgents overnight.,AfricaCheck,security,false,1
37,A message warns that armed men are injecting a deadly substance into sachet water sold at Lagos motor parks.,Dubawa,security,false,1
38,Viral claim: the army has declared a 72-hour nationwide curfew and anyone outside will be arrested on sight.,FactCheckHub,security,false,1
39,A staged photo is being passed around as evidence that a governor was kidnapped from his convoy last night.,AfricaCheck,security,misleading,1
40,A fabricated quote card claims the President said Nigerians should 'eat grass' if they cannot afford rice.,Dubawa,politics,false,1
41,A fake tweet attributed to Elon Musk promises to give N1 billion to any Nigerian who retweets and sends their bank details.,FactCheckHub,scam,false,1
42,A doctored BBC News graphic claims Nigeria has been ranked the happiest country in the world for 2023.,AfricaCheck,politics,false,1
43,A forged CNN screenshot says a Nigerian senator was arrested at a UK airport with $15 million in a suitcase.,Dubawa,politics,false,1
44,A manipulated video makes it look like a religious cleric endorsed a particular political party from the pulpit.,FactCheckHub,politics,misleading,1
45,A fake Aliko Dangote broadcast asks people to invest in a crypto scheme that doubles their money in 48 hours.,PesaCheck,scam,false,1
46,A quote falsely attributed to the CBN Governor says citizens should keep all their money at home instead of in banks.,AfricaCheck,economy,false,1
47,Congratulations! Your MTN line has been selected to win N2 million; click this link and enter your card PIN to claim.,FactCheckHub,scam,false,1
48,"The federal government is sharing N30,000 palliative to every phone number, just forward this message to ten people to receive yours.",Dubawa,scam,false,1
49,"A WhatsApp message says NNPC is recruiting 50,000 workers with no interview; pay N7,500 for a guaranteed appointment letter.",FactCheckHub,scam,false,1
50,"Dangote Foundation is giving free bags of rice and N20,000 to everyone who fills this Google form with their BVN.",AfricaCheck,scam,false,1
51,"Click to confirm your NIN or your SIM will be blocked in 24 hours, a phishing message impersonating NIMC warns.",Dubawa,scam,false,1
52,"A viral post claims that a full moon this week will emit radiation, so everyone must switch off their phones overnight.",AfricaCheck,science,false,1
53,"Adding a spoon of table salt to your phone battery makes it charge twice as fast, a trending video claims.",FactCheckHub,science,false,1
54,"NASA has confirmed six days of total darkness over Nigeria next month, according to a widely shared broadcast.",Dubawa,science,false,1
55,A message insists that boiling plastic sachet water releases a chemical that instantly causes cancer after one sip.,AfricaCheck,health,misleading,1
56,"Schools nationwide have been ordered to close indefinitely from tomorrow, a fake ministry memo announces.",FactCheckHub,politics,false,1
57,A recycled photo of a flood abroad is shared as the current situation in a Nigerian state to solicit donations.,Dubawa,disaster,misleading,1
58,Viral claim: eating bananas and drinking Sprite together forms a poison that has killed several students.,AfricaCheck,health,false,1
59,A trending message says the government has banned the use of generators in all homes starting next week.,FactCheckHub,politics,false,1
